,Methods,Protein length,tmscore
384,PVQD,70,0.3833
385,PVQD,70,0.28572
386,PVQD,70,0.30153
387,PVQD,70,0.34153
388,PVQD,70,0.37926
389,PVQD,70,0.30707
390,PVQD,70,0.15628
391,PVQD,70,0.53905
392,PVQD,70,0.24662
393,PVQD,70,0.22179
394,PVQD,70,0.13348
395,PVQD,70,0.65498
396,PVQD,70,0.20168
397,PVQD,70,0.52147
398,PVQD,70,0.13724
399,PVQD,70,0.14044
400,PVQD,70,0.27892
401,PVQD,70,0.15666
402,PVQD,70,0.17335
403,PVQD,70,0.30958
404,PVQD,70,0.20891
405,PVQD,70,0.19625
406,PVQD,70,0.26349
407,PVQD,70,0.19655
408,PVQD,70,0.15376
409,PVQD,70,0.19878
410,PVQD,70,0.20804
411,PVQD,70,0.63076
412,PVQD,70,0.15908
413,PVQD,70,0.44752
414,PVQD,70,0.23735
415,PVQD,70,0.14106
416,PVQD,70,0.22877
417,PVQD,70,0.24536
418,PVQD,70,0.2882
419,PVQD,70,0.24885
420,PVQD,70,0.78795
421,PVQD,70,0.20227
422,PVQD,70,0.22825
423,PVQD,70,0.35084
424,PVQD,70,0.19818
425,PVQD,70,0.20572
426,PVQD,70,0.15951
427,PVQD,70,0.14107
428,PVQD,70,0.23227
429,PVQD,70,0.28616
430,PVQD,70,0.4866
431,PVQD,70,0.19609
432,PVQD,70,0.25317
433,PVQD,70,0.16536
434,PVQD,70,0.18074
435,PVQD,70,0.36592
436,PVQD,70,0.39036
437,PVQD,70,0.2692
438,PVQD,70,0.11877
439,PVQD,70,0.52259
440,PVQD,70,0.22693
441,PVQD,70,0.48745
442,PVQD,70,0.71096
443,PVQD,70,0.4471
444,PVQD,70,0.54966
445,PVQD,70,0.42781
446,PVQD,70,0.14686
447,PVQD,70,0.47067
448,PVQD,70,0.32205
449,PVQD,70,0.34646
450,PVQD,70,0.28394
451,PVQD,70,0.29725
452,PVQD,70,0.17476
453,PVQD,70,0.15401
454,PVQD,70,0.6571
455,PVQD,70,0.91497
456,PVQD,70,0.33259
457,PVQD,70,0.30016
458,PVQD,70,0.2107
459,PVQD,70,0.15229
460,PVQD,70,0.47885
461,PVQD,70,0.19803
462,PVQD,70,0.22578
463,PVQD,70,0.34958
464,PVQD,70,0.22781
465,PVQD,70,0.16415
466,PVQD,70,0.25764
467,PVQD,70,0.23806
468,PVQD,70,0.4969
469,PVQD,70,0.20251
470,PVQD,70,0.19005
471,PVQD,70,0.22898
472,PVQD,70,0.15821
473,PVQD,70,0.12989
474,PVQD,70,0.19827
475,PVQD,70,0.7239
476,PVQD,70,0.29096
477,PVQD,70,0.20874
478,PVQD,70,0.15899
479,PVQD,70,0.3179
480,PVQD,70,0.18769
481,PVQD,70,0.34805
482,PVQD,70,0.15676
483,PVQD,70,0.20199
484,PVQD,70,0.21179
485,PVQD,70,0.24032
486,PVQD,70,0.36649
487,PVQD,70,0.38005
488,PVQD,70,0.47712
489,PVQD,70,0.22082
490,PVQD,70,0.3462
491,PVQD,70,0.23603
492,PVQD,70,0.37736
493,PVQD,70,0.37982
494,PVQD,70,0.30786
495,PVQD,70,0.34805
496,PVQD,70,0.34034
497,PVQD,70,0.30259
498,PVQD,70,0.3234
499,PVQD,70,0.39065
500,PVQD,70,0.39494
501,PVQD,70,0.31729
502,PVQD,70,0.33753
503,PVQD,70,0.30287
504,PVQD,70,0.2896
505,PVQD,70,0.21181
506,PVQD,70,0.40324
507,PVQD,70,0.244
508,PVQD,70,0.36464
509,PVQD,70,0.3776
510,PVQD,70,0.31714
511,PVQD,70,0.26111
512,PVQD,70,0.23611
513,PVQD,70,0.2861
514,PVQD,70,0.16231
515,PVQD,70,0.32009
516,PVQD,70,0.33784
517,PVQD,70,0.30893
518,PVQD,70,0.33698
519,PVQD,70,0.30416
520,PVQD,70,0.29771
521,PVQD,70,0.38954
522,PVQD,70,0.35718
523,PVQD,70,0.2684
524,PVQD,70,0.25093
525,PVQD,70,0.32775
526,PVQD,70,0.42385
527,PVQD,70,0.25953
528,PVQD,70,0.35196
529,PVQD,70,0.37545
530,PVQD,70,0.28649
531,PVQD,70,0.27961
532,PVQD,70,0.4846
533,PVQD,70,0.26256
534,PVQD,70,0.31491
535,PVQD,70,0.2397
536,PVQD,70,0.14635
537,PVQD,70,0.24173
538,PVQD,70,0.23093
539,PVQD,70,0.22959
540,PVQD,70,0.38852
541,PVQD,70,0.25833
542,PVQD,70,0.25459
543,PVQD,70,0.29894
544,PVQD,70,0.25726
545,PVQD,70,0.27364
546,PVQD,70,0.35398
547,PVQD,70,0.43313
548,PVQD,70,0.18335
549,PVQD,70,0.14986
550,PVQD,70,0.29025
551,PVQD,70,0.36962
552,PVQD,70,0.28492
553,PVQD,70,0.41356
554,PVQD,70,0.25107
555,PVQD,70,0.30332
556,PVQD,70,0.28104
557,PVQD,70,0.26432
558,PVQD,70,0.37572
559,PVQD,70,0.33524
560,PVQD,70,0.39092
561,PVQD,70,0.22195
562,PVQD,70,0.26441
563,PVQD,70,0.33558
564,PVQD,70,0.30983
565,PVQD,70,0.27256
566,PVQD,70,0.3996
567,PVQD,70,0.36085
568,PVQD,70,0.47836
569,PVQD,70,0.16513
570,PVQD,70,0.2542
571,PVQD,70,0.3161
572,PVQD,70,0.41474
573,PVQD,70,0.34441
574,PVQD,70,0.29086
575,PVQD,70,0.26193
576,PVQD,70,0.38972
577,PVQD,70,0.43706
578,PVQD,70,0.27697
579,PVQD,70,0.28894
580,PVQD,70,0.2802
581,PVQD,70,0.24656
582,PVQD,70,0.58172
583,PVQD,70,0.3054
584,PVQD,70,0.51346
585,PVQD,70,0.18918
586,PVQD,70,0.21343
587,PVQD,70,0.32659
588,PVQD,70,0.25372
589,PVQD,70,0.20909
590,PVQD,70,0.37033
591,PVQD,70,0.30157
592,PVQD,70,0.25676
593,PVQD,70,0.30036
594,PVQD,70,0.23425
595,PVQD,70,0.24664
596,PVQD,70,0.25774
597,PVQD,70,0.31732
598,PVQD,70,0.50001
599,PVQD,70,0.24595
600,PVQD,70,0.48119
601,PVQD,70,0.35242
602,PVQD,70,0.23448
603,PVQD,70,0.3199
604,PVQD,70,0.2771
605,PVQD,70,0.33262
606,PVQD,70,0.26964
607,PVQD,70,0.55018
608,PVQD,70,0.29102
609,PVQD,70,0.29751
610,PVQD,70,0.39936
611,PVQD,70,0.25187
612,PVQD,70,0.27781
613,PVQD,70,0.28514
614,PVQD,70,0.21721
615,PVQD,70,0.31223
616,PVQD,70,0.41764
617,PVQD,70,0.4407
618,PVQD,70,0.32587
619,PVQD,70,0.32993
620,PVQD,70,0.24914
621,PVQD,70,0.28973
622,PVQD,70,0.41048
623,PVQD,70,0.4308
624,PVQD,70,0.36311
625,PVQD,70,0.22011
626,PVQD,70,0.49726
627,PVQD,70,0.2655
628,PVQD,70,0.57778
629,PVQD,70,0.5519
630,PVQD,70,0.46002
631,PVQD,70,0.59543
632,PVQD,70,0.48046
633,PVQD,70,0.23677
634,PVQD,70,0.49042
635,PVQD,70,0.34207
636,PVQD,70,0.39257
637,PVQD,70,0.32991
638,PVQD,70,0.3529
639,PVQD,70,0.22297
640,PVQD,70,0.21879
641,PVQD,70,0.5178
642,PVQD,70,0.52023
643,PVQD,70,0.39478
644,PVQD,70,0.3417
645,PVQD,70,0.31843
646,PVQD,70,0.27141
647,PVQD,70,0.45793
648,PVQD,70,0.27349
649,PVQD,70,0.3217
650,PVQD,70,0.35487
651,PVQD,70,0.31115
652,PVQD,70,0.27342
653,PVQD,70,0.35424
654,PVQD,70,0.33771
655,PVQD,70,0.48492
656,PVQD,70,0.25283
657,PVQD,70,0.20904
658,PVQD,70,0.27608
659,PVQD,70,0.26682
660,PVQD,70,0.23901
661,PVQD,70,0.24366
662,PVQD,70,0.51902
663,PVQD,70,0.33837
664,PVQD,70,0.27268
665,PVQD,70,0.20595
666,PVQD,70,0.35667
667,PVQD,70,0.28523
668,PVQD,70,0.43443
669,PVQD,70,0.27653
670,PVQD,70,0.28291
671,PVQD,70,0.30405
672,PVQD,70,0.37882
673,PVQD,70,0.31969
674,PVQD,70,0.29494
675,PVQD,70,0.31577
676,PVQD,70,0.31866
677,PVQD,70,0.30233
678,PVQD,70,0.30875
679,PVQD,70,0.40472
680,PVQD,70,0.30343
681,PVQD,70,0.24406
682,PVQD,70,0.56642
683,PVQD,70,0.3119
684,PVQD,70,0.27538
685,PVQD,70,0.34588
686,PVQD,70,0.26131
687,PVQD,70,0.25958
688,PVQD,70,0.29916
689,PVQD,70,0.29581
690,PVQD,70,0.28773
691,PVQD,70,0.31451
692,PVQD,70,0.3854
693,PVQD,70,0.42996
694,PVQD,70,0.35127
695,PVQD,70,0.32315
696,PVQD,70,0.34961
697,PVQD,70,0.31902
698,PVQD,70,0.39436
699,PVQD,70,0.25156
700,PVQD,70,0.38755
701,PVQD,70,0.45746
702,PVQD,70,0.41065
703,PVQD,70,0.28633
704,PVQD,70,0.31818
705,PVQD,70,0.27591
706,PVQD,70,0.35168
707,PVQD,70,0.50614
708,PVQD,70,0.39709
709,PVQD,70,0.34619
710,PVQD,70,0.31997
711,PVQD,70,0.35576
712,PVQD,70,0.20609
713,PVQD,70,0.2419
714,PVQD,70,0.48142
715,PVQD,70,0.32857
716,PVQD,70,0.54654
717,PVQD,70,0.31705
718,PVQD,70,0.36921
719,PVQD,70,0.37127
720,PVQD,70,0.34176
721,PVQD,70,0.25184
722,PVQD,70,0.31798
723,PVQD,70,0.30935
724,PVQD,70,0.35232
725,PVQD,70,0.31584
726,PVQD,70,0.32365
727,PVQD,70,0.38772
728,PVQD,70,0.37176
729,PVQD,70,0.43658
730,PVQD,70,0.301
731,PVQD,70,0.32788
732,PVQD,70,0.26764
733,PVQD,70,0.24752
734,PVQD,70,0.2471
735,PVQD,70,0.38997
736,PVQD,70,0.37558
737,PVQD,70,0.27027
738,PVQD,70,0.26915
739,PVQD,70,0.33903
740,PVQD,70,0.28928
741,PVQD,70,0.34652
742,PVQD,70,0.35981
743,PVQD,70,0.35204
744,PVQD,70,0.29697
745,PVQD,70,0.3772
746,PVQD,70,0.32734
747,PVQD,70,0.32996
748,PVQD,70,0.31704
749,PVQD,70,0.23564
750,PVQD,70,0.31517
751,PVQD,70,0.27618
752,PVQD,70,0.34606
753,PVQD,70,0.34736
754,PVQD,70,0.24645
755,PVQD,70,0.32154
756,PVQD,70,0.42533
757,PVQD,70,0.33358
758,PVQD,70,0.37651
759,PVQD,70,0.3915
760,PVQD,70,0.32669
761,PVQD,70,0.3386
762,PVQD,70,0.3736
763,PVQD,70,0.31437
764,PVQD,70,0.39771
765,PVQD,70,0.30276
766,PVQD,70,0.3491
767,PVQD,70,0.28306
768,PVQD,70,0.48
769,PVQD,70,0.40528
770,PVQD,70,0.30744
771,PVQD,70,0.37412
772,PVQD,70,0.34606
773,PVQD,70,0.37067
774,PVQD,70,0.28974
775,PVQD,70,0.33094
776,PVQD,70,0.33668
777,PVQD,70,0.35447
778,PVQD,70,0.28211
779,PVQD,70,0.37852
780,PVQD,70,0.36575
781,PVQD,70,0.31417
782,PVQD,70,0.35758
783,PVQD,70,0.29495
784,PVQD,70,0.32986
785,PVQD,70,0.44094
786,PVQD,70,0.36052
787,PVQD,70,0.34664
788,PVQD,70,0.29587
789,PVQD,70,0.33031
790,PVQD,70,0.22719
791,PVQD,70,0.29743
792,PVQD,70,0.28933
793,PVQD,70,0.29552
794,PVQD,70,0.36199
795,PVQD,70,0.39794
796,PVQD,70,0.35359
797,PVQD,70,0.33848
798,PVQD,70,0.35341
799,PVQD,70,0.32403
800,PVQD,70,0.29341
801,PVQD,70,0.3626
802,PVQD,70,0.42798
803,PVQD,70,0.25395
804,PVQD,70,0.34845
805,PVQD,70,0.34844
806,PVQD,70,0.30039
807,PVQD,70,0.33674
808,PVQD,70,0.40783
809,PVQD,70,0.33858
810,PVQD,70,0.24032
811,PVQD,70,0.29805
812,PVQD,70,0.23147
813,PVQD,70,0.29606
814,PVQD,70,0.30554
815,PVQD,70,0.29149
816,PVQD,70,0.37815
817,PVQD,70,0.3097
818,PVQD,70,0.33288
819,PVQD,70,0.27729
820,PVQD,70,0.30036
821,PVQD,70,0.26305
822,PVQD,70,0.41641
823,PVQD,70,0.34117
824,PVQD,70,0.22504
825,PVQD,70,0.2228
826,PVQD,70,0.29595
827,PVQD,70,0.39141
828,PVQD,70,0.37699
829,PVQD,70,0.3389
830,PVQD,70,0.32931
831,PVQD,70,0.36527
832,PVQD,70,0.27655
833,PVQD,70,0.31213
834,PVQD,70,0.26796
835,PVQD,70,0.37747
836,PVQD,70,0.35111
837,PVQD,70,0.27101
838,PVQD,70,0.30865
839,PVQD,70,0.35621
840,PVQD,70,0.2873
841,PVQD,70,0.29382
842,PVQD,70,0.36831
843,PVQD,70,0.30444
844,PVQD,70,0.3687
845,PVQD,70,0.22562
846,PVQD,70,0.26873
847,PVQD,70,0.30791
848,PVQD,70,0.39113
849,PVQD,70,0.33854
850,PVQD,70,0.41627
851,PVQD,70,0.30547
852,PVQD,70,0.36562
